aof1,ONX,onyx property group
aof1,RPH,ronin property group
aog1,AOG,australian oil & gas corporation limited
aok1,AOK,austex oil limited
aom1,AOM,asia oil and minerals limited
aon1,AON,apollo minerals limited
aop1,AOP,apollo life sciences limited
aov1,AOV,australian overseas mining limited
aov1,AOV,australian overseas resources limited
aov1,BQT,banque-tec limited
aov1,BQT,bqt solutions limited
aov1,FCS,4c security solutions limited
apa1,APA,a.p.a. holdings limited
apa2,APA,apa group
apa2,APA,australian pipeline trust
apb2,APB,arafura pearls holdings limited
apd1,APD,austland property development limited
apd2,APD,apn property group limited
ape1,APE,ap eagers limited
ape1,EAG,eagers holdings limited
apf1,APF,advance property fund
apg1,APG,austpac gold nl
apg1,APG,austpac resources nl
aph1,APH,auspharm international limited
api1,API,australian pharmaceutical industries limited
apl3,APL,australian plantation timber limited
apm1,APM,australia pacific minerals n.l.
apn1,APN,apn news & media limited
apn1,APN,australian provincial newspapers holdings lim
apo1,APO,arrow petroleum limited
app1,APP,a.p. group ltd.
app3,APP,apa financial services ltd
1-Apr,APR,api fund
aps1,APS,austus properties limited
apu1,AEH,aerosonde holdings limited
apu1,APU,australian platinum mines limited
apu1,APU,australian platinum mines nl
apv2,APV,access providers ltd
apv2,CVA,clever communications australia limited
apw1,APW,australian premium wines limited
apy1,APY,asia pacific specialty chemicals limited
apy1,HCM,harcros chemicals limited
aqa1,AQA,aquila resources limited
aqc1,AQC,allied queensland coalfields limited
aqd1,AQD,ausquest limited
aql1,AQL,aquacarotene limited
aqp1,AQP,aquarius platinum limited
aqr2,AQR,aussie q resources limited
aqs1,AQS,aquarius exploration nl
aqs1,AQS,aquarius platinum (australia) limited
aqs1,AQS,aquarius platinum limited
aqs1,AQS,aquarius platinum nl
aqs3,AQS,aquarius exploration no liability
aqs3,TUC,tuckanarra minerals n.l.
ara1,ARA,ariadne australia limited
arc1,ARC,amalg resources nl
arc1,BRW,breakaway resources limited
ard2,ARD,argent minerals limited
are1,ARE,associated resources management limited
arf1,ARF,arrowfield group limited
arg1,ARG,argo investments limited
ari1,AIL,australian innovation limited.
ari1,ARI,australian innovation limited
ari1,BTI,bt innovation limited
ari1,DUL,dulhunty power limited
arj1,ARJ,the armstrong jones prime investment fund
ark1,ARK,arcadia minerals limited
ark1,ARK,arcadia minerals nl
ark1,CSI,concept systems international limited
ark1,TWO,talent2 international limited
arl1,ARL,austrim limited
arl1,ARL,austrim nylex limited
arl1,NLX,nylex limited
arm1,ARM,arimco n.l.
arm2,ARM,aurora minerals limited
arn1,ARN,arnotts limited
aro1,ARO,astro diamond mines n.l.
aro1,ARO,astro mining nl
arp1,ARP,arb corporation limited
arq1,ARQ,arc energy limited
arq1,ARQ,arc energy nl
arq1,ATO,austin oil nl
arr1,ARR,arasor international limited
ars1,ARS,australian resources limited
art2,ART,amp shopping centre trust
aru1,ARU,arafura resources limited
aru1,ARU,arafura resources nl
arv1,ARV,australian resort developments limited
arv2,ARV,artemis resources limited
arw1,ARW,arrow limited
arw2,ARW,australian renewable fuels limited
arx1,ARX,arc exploration limited
arx1,ARX,austindo resources corporation nl
arx1,CRR,carrie pacific holdings limited
arx1,EWM,east west minerals n.l.
arx1,HMH,hmh gold mining corporation limited
arx1,HMH,hmh gold mining corporation nl
ary1,ARY,adroyal limited
ary1,JGL,jackgreen limited
ary1,LEL,lion equities limited
asb1,ASB,austal limited
ase1,ASE,australian topmaking services limited
ase1,HWK,hawke (aust.) limited
asg1,ADD,adavale resources limited
asg1,ASG,asia gold mining corporation nl
asg1,MGC,mining corporation of australia limited
asg1,PKT,pocketmail group limited
asg1,TMG,target mining corporation limited
ash1,ASH,ashton mining limited
ask1,ASK,amskan limited
ask1,OBL,oil basins limited
ask1,SXO,saxon investment group limited
asl1,ASL,ausdrill limited
asn1,ASN,australian sandstone industries limited
asn1,CDH,chongherr investments ltd
asp3,ASP,aspermont limited.
asq1,ASQ,asset loans ltd
asr1,ASR,australian rural group limited
asr1,ATA,a.t.a. services limited
asu1,ASU,alpha sensors limited
asu1,ASU,alpha technologies corporation limited
asu1,ASU,alpha technologies limited
asu1,SDN,sonodyne international limited
asv1,ASV,argus solutions limited
asw1,ASW,advanced share registry limited
asx1,ASX,asx limited
asx1,ASX,australian stock exchange limited
atd1,AGZ,a.g.d. mining limited
atd1,ATD,antimony gold corporation nl
atd1,ATD,australian gold development n.l.
atd1,ATD,australian gold development nl
atd1,INM,indian mining corporation limited
atd1,INM,indian mining corporation nl
atd1,LTC,l-tel corporation limited
ate1,ABU,abm resources nl
ate1,ATE,australasian gold mines nl
ate1,TAA,tantalum australia nl
atf1,ATF,austoft holdings limited
atg1,ATG,austin group limited
atg1,MCB,mercury brands limited
ati1,ATI,atlantic limited
atj1,ATJ,automotive technology group limited
atp1,ATP,atlas pacific gold n.l.
atp1,ATP,atlas pacific limited
atp1,ATP,atlas south sea pearl limited
atq1,ATQ,atlas equity limited
atq2,ATQ,atomic resources limited
atr1,ATR,astron limited
atr1,ATR,astron resources limited
atu1,ATU,australian tourism group
atx2,ATX,austminex limited
atx2,ATX,austminex nl
atx2,FML,focus minerals ltd
aua1,AUA,australian assets corporation limited
aua1,MFI,mariner financial limited
aub2,AUB,austbrokers holdings limited
auc1,AUC,australian consolidated investments limited
aud1,AUD,ausdoc group limited
aue1,AUE,austereo limited
auf2,AUF,asian masters fund limited
1-Aug,AUG,aurora gold limited
aui1,AUI,australian united investment company limited
auj1,AUJ,augustus minerals limited
auk1,AUK,augur resources limited
aul1,AUL,australian united gold limited
aul1,AUL,australian united gold nl
aul1,MLS,metals australia ltd
aum1,AUM,australian mining investments limited
aum1,CDU,cudeco limited
aun2,AUN,austar united communications limited
auo1,AUO,austral coal limited
aup1,AUP,australian pacific technology limited
aup2,AUP,aurora property buy-write income trust
auq1,AUQ,alara resources limited
